Full Name,Potential,Preferred Foot,Attacking Work Rate,Defensive Work Rate,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes
Dia Saba,72,Left,High,Low,69,71,46,72,66,74,70,56,68,73,82,75,78,69,87,73,69,71,62,70,54,22,74,70,62,31,25,34,14,10,10,14,6
Francisco Sierralta,77,Right,Medium,High,57,30,67,66,23,46,37,28,45,63,51,53,51,71,34,38,79,53,85,25,79,72,24,33,40,73,67,70,12,10,9,7,13
Alan Aguerre,72,Right,Medium,Medium,14,20,17,27,16,17,18,18,23,19,49,43,45,66,57,47,71,34,62,14,23,19,11,56,22,15,19,12,73,71,63,72,74
Mohamed Bouldini,75,Left,Medium,Medium,40,73,69,63,63,66,42,44,55,70,76,84,77,69,65,76,75,75,84,63,58,31,71,59,67,18,15,18,10,6,10,7,12
Jérémy Le Douaron,76,Left,Medium,High,68,72,71,69,44,73,58,48,56,73,71,70,63,69,57,75,66,71,77,68,69,51,73,68,56,44,48,41,12,12,6,8,10
Alexandre Corredera Alardi,75,Left,High,Medium,58,67,55,78,56,69,79,72,76,74,61,67,71,70,71,69,62,79,66,61,58,46,70,73,59,53,62,59,10,11,15,14,8
Jefferson Duque,72,Right,Medium,Low,46,78,75,65,63,66,32,69,57,69,60,64,62,70,63,74,78,65,77,75,46,36,71,56,82,15,19,17,7,13,12,13,13
Romano Schmid,79,Right,High,Medium,67,60,39,73,58,79,70,46,60,78,75,83,85,69,85,72,75,70,51,71,43,60,67,69,52,56,37,37,7,9,7,9,6
Iké Ugbo,78,Right,High,Medium,57,77,69,66,71,69,43,38,38,68,72,79,69,74,62,68,74,63,74,55,61,26,73,63,73,21,30,19,11,13,5,13,11
Patrick Drewes,72,Right,Medium,Medium,15,14,15,25,15,12,18,14,28,18,30,29,31,69,48,49,40,41,77,12,35,21,13,39,26,16,15,16,73,69,65,71,75
Rúben Barcelos De Sousa Lameiras,72,Left,Medium,Low,68,66,40,69,59,75,75,74,64,75,78,74,84,73,80,72,66,69,57,73,66,48,68,70,70,29,48,49,10,14,13,8,15
Josepmir Ballón,72,Right,Low,Medium,60,58,58,74,45,62,61,70,70,73,64,74,73,65,67,72,66,83,75,70,77,72,56,71,70,65,66,62,7,12,7,12,14
Amato Ciciretti,72,Left,High,Medium,67,67,43,74,66,68,73,68,70,75,80,81,83,66,82,70,33,63,45,71,49,38,70,73,60,49,36,29,13,6,9,12,6
Juan Antonio Iglesias Sánchez,79,Right,Medium,Medium,67,36,70,68,37,65,58,40,48,65,72,70,65,70,52,36,55,76,66,32,60,69,58,55,42,68,73,72,10,12,11,12,8
Adrián Guerrero Aguilar,79,Left,Medium,High,67,67,65,67,67,68,66,63,68,69,73,74,69,69,76,66,70,82,68,65,68,68,73,72,64,70,69,70,10,12,11,12,8
Hassan Al Haydos,72,Right,Medium,High,65,66,45,71,51,74,67,65,65,75,83,76,74,70,86,63,51,63,41,64,37,46,68,71,76,35,27,21,12,16,16,10,8
Cristian Borja,72,Left,Medium,Medium,69,49,58,68,31,69,46,42,66,70,86,85,77,67,67,45,74,73,75,60,66,68,57,61,46,67,68,69,13,11,15,12,6
Cristian Espinoza,72,Right,High,High,71,61,41,70,64,73,65,61,65,70,83,80,81,65,76,72,34,84,61,61,50,38,67,71,60,50,39,36,16,8,12,7,8
Nicolás Gaitán,72,Left,Medium,Low,76,68,54,69,77,73,82,72,74,76,59,55,63,74,80,70,57,34,48,69,53,40,74,78,71,35,42,43,8,11,9,7,5
Aymen Barkok,78,Right,High,Medium,63,68,60,71,57,81,65,60,65,79,72,79,75,69,69,69,54,65,68,61,60,53,66,71,53,47,59,61,7,12,13,8,13
Lorenzo Dickmann,75,Right,High,Medium,68,48,53,68,52,67,65,45,58,68,72,70,70,64,80,57,66,80,56,58,63,72,63,58,43,70,71,72,7,5,5,13,9
Andrés Cadavid,72,Left,Medium,High,36,62,79,68,31,42,45,65,55,60,31,31,28,65,49,75,61,31,92,67,82,68,29,40,76,70,73,64,7,14,11,13,7
Kevin Diks,75,Right,High,Medium,68,56,69,67,55,68,58,44,61,70,77,74,78,66,74,65,87,83,75,54,68,71,65,55,49,70,68,67,7,15,9,10,15
Emiliano Amor,74,Right,Low,High,33,39,74,64,23,48,31,17,57,56,45,55,51,65,52,45,75,63,87,19,85,69,27,35,58,70,70,68,10,14,12,14,14
Vlad Chiricheș,72,Right,Medium,Medium,46,56,73,68,70,59,46,41,70,65,53,54,53,72,66,75,69,55,68,66,75,76,36,46,51,75,74,72,7,11,10,14,13
Ryan Ledson,75,Right,Medium,Medium,64,58,58,72,45,63,66,64,70,69,62,63,68,67,70,59,67,83,65,52,87,68,59,70,53,66,70,68,14,16,16,8,11
Marko Rog,73,Right,High,Medium,65,62,47,78,65,75,64,57,76,78,66,68,62,69,70,68,43,70,67,73,74,58,63,70,60,64,70,66,6,15,12,13,12
Guto Ramón Milazar Coimbra,72,Left,Medium,Medium,67,22,60,70,31,64,31,55,73,58,74,73,76,64,75,67,55,85,47,51,51,72,50,38,51,69,71,73,5,12,13,14,9
Facundo Mura,77,Right,High,Medium,71,50,55,67,30,70,52,41,66,69,79,78,76,69,74,67,66,79,66,55,69,67,72,70,47,67,70,65,11,11,12,8,14
Václav Jemelka,74,Left,High,Medium,54,37,75,67,35,65,43,24,72,64,63,66,59,72,68,56,63,67,76,45,75,74,46,58,42,72,72,69,7,9,9,11,14
Wallace Fortuna Santos,74,Right,Medium,Medium,34,21,72,59,36,45,33,29,50,52,64,71,45,70,34,40,80,61,86,26,76,71,25,31,45,72,70,69,15,11,11,10,11
Kamal Sowah,79,Left,High,High,64,67,48,69,70,73,64,64,58,74,82,85,78,70,75,72,72,83,59,70,50,46,76,66,59,38,46,45,10,13,10,9,7
Paulo Henrique Soares dos Santos,72,Left,High,Medium,70,72,62,74,64,77,67,72,73,70,77,84,87,73,91,73,77,76,65,70,59,48,74,74,69,33,49,38,12,14,14,11,8
Leandro Freddy Vivenço Morais,72,Right,Medium,Medium,61,76,65,55,72,77,77,74,57,75,73,76,73,74,83,83,75,78,54,73,57,22,65,57,71,33,22,21,14,11,10,18,17
Felipe Mora,72,Right,Medium,Low,32,73,71,66,66,71,55,40,64,71,82,74,74,68,69,75,84,62,74,65,40,21,72,57,68,22,23,18,12,11,11,11,9
Bandar Al Ahbabi,72,Right,High,Low,74,52,55,69,52,69,74,65,69,70,86,82,77,65,84,52,54,78,43,46,48,66,67,69,41,64,65,66,13,10,14,14,14
Nélson Miguel Castro Oliveira,72,Right,Medium,Low,64,71,71,69,74,72,63,47,59,73,64,72,66,70,67,77,66,68,77,69,74,36,76,65,80,27,40,29,8,7,7,7,10
Thomas Monconduit,72,Right,High,High,67,49,71,68,39,65,72,63,72,70,43,55,61,67,59,70,71,75,74,68,74,71,64,68,52,71,70,70,12,9,14,13,13
Danovis Banguero,72,Left,Medium,Medium,70,52,63,66,45,59,49,55,59,64,79,77,70,66,49,71,59,86,84,59,70,70,63,58,66,65,66,70,10,11,8,13,15
Leonardo Henriques Coelho,73,Right,High,Medium,39,41,74,69,35,44,39,37,67,67,65,72,71,59,64,51,74,65,82,40,60,73,45,56,49,67,78,76,14,13,10,7,12
Loïc Négo,72,Right,High,High,77,70,52,70,68,71,77,43,69,70,78,82,70,72,72,69,59,72,65,61,67,65,65,58,54,61,66,64,12,12,8,11,16
Michael Barrios,72,Right,Medium,Low,70,65,54,63,69,74,64,65,60,70,86,84,86,65,94,75,64,72,44,59,52,40,73,73,59,54,31,25,9,8,11,15,9
Sandi Lovrič,79,Right,High,Medium,66,66,55,75,47,71,68,65,73,73,57,50,63,71,65,64,58,76,66,64,63,65,70,73,48,58,66,61,11,10,12,13,7
Sebastián Torrico,72,Right,Medium,Medium,18,20,14,26,18,17,14,21,21,22,40,38,32,70,51,54,60,22,61,12,20,21,13,39,21,20,14,15,66,71,72,76,73
Siebe Schrijvers,75,Right,High,Medium,69,73,60,73,78,72,73,72,70,74,70,65,78,71,73,73,72,71,57,69,67,64,75,74,68,59,63,61,8,6,6,14,14
Xavier Torres Buigues,72,Right,Medium,High,66,49,63,71,57,58,58,65,70,72,58,60,59,71,60,80,70,71,86,65,73,75,57,70,66,73,65,67,12,15,6,8,10
Luiz Lúcio Reis Júnior,82,Right,Medium,Medium,13,9,13,19,6,10,13,14,26,18,29,31,31,62,25,50,37,22,68,5,24,14,8,37,14,6,10,12,72,71,67,72,73
Fredrik Andre Bjørkan,77,Left,High,Medium,66,53,58,67,46,73,56,32,61,71,79,78,73,68,74,56,71,86,67,47,63,67,64,57,42,67,67,66,9,13,10,12,9
Badou Ndiaye,72,Right,High,High,59,63,55,74,65,75,70,63,69,73,83,81,79,71,75,80,75,82,77,72,77,74,66,68,65,72,72,69,7,12,11,7,10
Ferran Jutglà Blanch,80,Right,Medium,Medium,54,73,67,64,65,76,57,53,48,77,79,74,75,68,82,72,75,73,78,69,64,21,74,62,73,22,29,25,6,8,8,8,8
Mateusz Lis,77,Right,Medium,Medium,10,9,12,22,8,13,11,11,16,12,27,27,37,54,35,50,33,26,70,9,19,8,6,44,16,9,10,11,74,71,66,74,75
Fábio Samuel Amorim Silva,75,Left,High,Medium,63,71,48,72,48,78,65,52,69,76,74,73,80,70,80,68,73,80,56,70,58,65,73,74,62,47,66,63,12,9,11,9,8
Leonel Di Plácido,72,Right,High,Medium,70,57,48,65,55,76,59,49,63,72,87,85,79,61,75,69,76,80,66,63,71,65,59,57,53,62,70,72,10,16,10,11,7
Matt Hedges,72,Right,Low,High,26,23,74,71,30,44,24,25,69,63,47,36,55,65,48,40,71,79,91,20,78,74,39,42,34,70,70,65,10,16,15,10,12
Oğuzhan Özyakup,72,Right,Medium,Medium,76,62,50,79,72,79,80,74,77,78,62,53,74,65,78,74,71,57,57,72,69,60,66,76,75,60,55,58,7,10,9,15,13
Diego Mariño Villar,72,Right,Medium,Medium,22,16,20,35,18,15,16,11,33,21,48,52,66,72,46,50,75,35,69,14,30,26,11,54,23,18,15,16,73,71,66,68,75
Lucas Da Cunha,78,Left,High,Medium,69,66,56,70,60,74,68,57,61,75,77,75,79,65,76,73,54,62,54,72,50,33,70,70,62,31,40,33,8,9,14,15,14
Hernán Barcos,72,Right,Medium,Medium,57,77,78,70,68,65,66,65,64,75,54,53,42,69,46,76,70,65,75,67,67,52,78,70,75,41,40,38,6,7,16,14,11
Noë Dussenne,72,Right,Medium,Medium,41,28,75,66,59,44,28,29,61,58,33,37,51,68,53,50,50,68,80,21,74,75,28,44,64,75,73,69,12,16,15,7,11
Rivaldo Coetzee,79,Right,Medium,Medium,48,24,66,76,27,62,33,33,75,70,78,74,45,68,69,35,74,69,68,27,43,79,33,60,46,74,74,71,14,12,8,11,12
Mikel Villanueva,72,Left,Low,High,65,27,62,70,42,60,49,47,65,65,60,68,48,71,65,64,73,72,90,43,75,69,40,34,38,74,73,70,13,6,13,5,12
Carlos Cuesta,79,Right,Medium,High,28,21,73,74,33,58,32,20,64,68,73,75,75,67,67,41,82,73,74,30,77,73,20,43,34,69,73,70,10,8,11,15,10
Enrique Bologna,72,Right,Medium,Medium,21,13,10,34,10,22,16,18,21,32,44,40,43,70,47,54,69,33,73,15,25,17,15,53,25,12,22,17,74,67,72,71,74
Jack Robinson,72,Left,Medium,Medium,58,40,66,65,32,55,60,40,59,64,70,68,72,68,70,43,83,71,72,38,80,70,52,57,43,72,74,74,14,14,13,10,6
Lisandro López,72,Right,Medium,Medium,65,71,73,74,74,71,79,66,70,75,65,61,69,69,73,76,71,53,64,70,57,55,75,68,77,45,57,37,8,10,11,13,6
Berat Özdemir,76,Right,Medium,Medium,62,52,68,72,58,66,66,49,70,70,69,68,71,68,66,72,70,80,72,68,72,73,64,64,49,71,73,67,13,15,9,8,7
Ciaran Clark,72,Left,Low,Medium,39,44,79,60,51,50,50,36,54,58,36,34,54,62,50,71,78,52,76,48,80,71,49,51,55,70,75,72,14,7,12,14,12
Almoez Ali,75,Right,Medium,Medium,39,76,76,58,74,68,53,49,49,64,68,82,60,66,42,77,81,65,76,69,55,19,71,59,75,21,12,18,12,14,15,6,12
Liberato Cacace,82,Left,High,Medium,64,61,57,68,51,69,65,62,63,69,79,81,65,66,76,67,77,84,77,62,69,70,71,65,61,66,68,65,12,11,10,9,12
Oleksandr Zubkov,73,Left,High,Medium,68,73,55,62,52,78,71,70,54,74,78,87,55,70,64,78,67,52,65,69,30,24,67,64,55,13,16,12,11,9,10,9,5
Elijah Adebayo,76,Right,High,Medium,43,74,72,55,63,68,54,46,42,70,68,77,67,71,59,72,70,77,85,66,71,39,74,55,65,42,43,34,6,11,9,11,11
Florin Tănase,72,Right,Medium,Low,70,74,58,73,64,69,73,71,70,68,76,73,79,74,40,71,64,84,43,68,55,54,73,74,84,32,39,37,8,16,12,10,7
Loris Karius,72,Right,Medium,Medium,14,18,14,38,14,16,12,14,41,23,55,54,51,69,43,54,74,36,64,16,21,13,8,50,19,9,11,13,75,66,72,70,75
Alexander Alvarado,80,Right,High,Low,64,70,69,69,50,74,70,70,58,68,85,79,81,64,74,67,72,80,70,67,53,49,72,71,65,50,54,50,10,15,6,15,13
Tijjani Reijnders,77,Right,High,Medium,70,64,55,75,62,73,68,68,71,75,80,79,84,74,74,76,73,78,64,76,63,68,63,74,57,64,63,61,6,10,9,14,9
Seny Dieng,75,Right,Medium,Medium,7,9,20,45,8,10,31,8,45,20,39,41,34,72,33,53,66,26,63,5,24,11,6,50,8,8,9,14,70,68,71,69,75
Yoshimar Yotún,72,Left,Medium,High,75,66,53,73,60,67,70,74,73,70,61,62,84,73,80,75,83,83,70,64,81,67,68,77,75,72,61,66,7,8,16,11,7
Horacio Calcaterra,72,Right,Low,Medium,72,65,55,80,41,70,65,72,77,72,67,65,63,65,70,68,62,80,58,70,54,57,61,75,75,63,62,56,14,15,9,9,8
Gastón Suso,72,Left,Medium,High,45,40,70,73,31,45,31,33,55,52,50,53,55,70,64,47,71,71,79,35,73,74,43,29,64,72,74,72,5,9,11,6,9
Damian Dąbrowski,72,Right,High,High,67,49,58,72,53,61,64,61,68,69,75,66,72,68,74,72,85,85,80,57,78,71,52,65,51,63,69,66,6,6,6,16,9
Sam Byram,72,Right,Medium,Medium,70,59,66,67,43,69,55,33,64,69,72,75,70,70,71,66,77,67,66,52,68,70,61,65,41,72,70,71,10,9,15,16,13
André Hansen,72,Right,Medium,Medium,15,15,18,43,15,20,15,20,46,30,32,34,46,58,41,54,52,34,72,15,28,22,17,62,22,24,14,14,73,70,72,72,74
Theo Walcott,72,Right,Medium,Medium,73,67,58,74,71,73,72,69,63,75,79,69,73,74,75,72,59,34,55,62,65,35,75,67,69,37,39,36,11,8,9,9,8
Yoann Court,72,Left,High,Medium,74,67,26,72,32,71,70,67,72,72,70,66,75,71,86,70,80,72,69,65,67,50,70,74,60,35,40,44,12,16,7,13,13
Kristjan Asllani,84,Right,Medium,High,58,57,61,77,48,70,65,65,71,73,65,66,64,65,74,72,59,83,51,66,66,72,59,71,54,66,73,67,9,8,12,6,6
Giovanni González,72,Right,High,Medium,69,28,59,69,31,63,57,55,67,62,74,72,76,66,79,67,61,89,68,49,57,70,59,38,51,70,67,71,5,12,13,14,9
Sam Beukema,80,Right,High,Medium,40,50,77,67,34,58,39,50,70,63,63,69,54,70,56,67,84,68,76,63,67,71,57,41,47,70,73,70,12,11,7,6,13
Exequiel Zeballos,85,Right,High,Low,69,60,34,65,52,78,64,66,57,74,87,83,90,65,83,69,40,69,38,64,40,28,68,70,64,27,36,34,5,11,11,6,8
Jamie Paterson,72,Right,High,Medium,69,69,57,72,57,73,66,67,65,72,77,73,83,70,75,65,63,73,48,67,27,38,69,72,62,42,33,35,14,8,12,12,7
Hugo Cuypers,76,Right,High,High,62,72,69,68,66,67,45,49,61,70,74,75,70,72,64,75,71,83,72,67,45,15,77,69,72,32,18,13,13,12,12,12,10
Richard Schunke,72,Right,Medium,Medium,41,31,71,69,31,41,35,34,59,73,58,60,53,68,55,43,80,74,86,30,70,72,28,38,44,70,70,65,15,11,14,11,14
Boško Šutalo,79,Right,Medium,High,62,38,66,65,30,61,41,29,58,64,62,60,73,73,52,68,65,59,69,40,72,80,38,42,47,75,74,69,13,14,14,11,5
Giulio Donati,72,Right,Low,High,70,30,68,66,47,59,55,46,68,63,64,67,62,71,69,65,66,73,69,43,89,73,49,51,51,70,73,73,16,15,8,9,8
Mats Møller Dæhli,73,Right,High,Medium,61,55,21,73,56,80,62,66,65,77,79,76,91,71,88,51,51,90,59,56,39,42,66,74,56,40,35,27,6,12,10,7,9
Fredy Hinestroza,72,Left,High,Medium,70,54,67,70,59,75,55,66,63,70,84,92,86,70,72,76,84,68,67,76,58,54,68,66,47,37,29,53,6,10,9,16,9
Marvin Wanitzek,72,Right,High,Medium,77,58,49,75,59,71,76,78,70,75,77,64,77,70,76,74,64,90,62,70,53,62,67,72,73,49,60,62,15,12,10,13,8
Wylan Cyprien,73,Right,Medium,Medium,70,65,64,72,64,71,73,70,71,73,64,64,70,70,72,75,80,68,75,70,72,71,69,70,76,71,71,66,8,16,8,11,14
Andrea Cambiaso,82,Left,Medium,Medium,74,49,53,69,55,72,64,60,61,71,72,76,72,69,70,64,60,67,49,52,64,68,65,63,46,68,71,70,13,7,7,13,13
Samuel Kalu,75,Right,High,Medium,71,65,62,67,49,76,72,71,60,72,87,84,81,67,81,66,85,68,47,64,57,31,67,68,52,30,32,27,11,13,6,10,12
Anastasios Chatzigiovanis,75,Right,High,Medium,70,67,55,68,59,76,65,65,66,74,82,80,77,65,75,64,63,65,57,65,64,25,67,67,55,45,30,33,12,8,8,12,6
Volodymyr Shepelev,76,Right,Medium,Medium,34,64,40,76,34,68,32,56,74,74,69,60,67,74,58,60,59,68,57,70,69,69,68,74,53,68,67,70,13,9,14,11,13
Won Sang Um,80,Right,High,Low,62,70,40,61,65,77,61,55,51,65,92,93,92,70,85,67,59,75,66,56,61,44,78,54,62,34,38,31,15,10,11,10,6
Bradley Dack,72,Right,High,Medium,68,71,64,72,61,74,76,69,69,75,74,67,81,65,81,70,58,54,77,69,80,55,76,72,62,46,56,48,10,7,15,16,9
Winston Reid,72,Right,Low,High,28,46,77,56,30,39,33,38,50,54,49,56,50,71,42,69,71,40,80,53,78,73,42,44,55,72,74,74,13,15,9,10,12
Marco Benassi,72,Right,High,Medium,68,66,68,75,70,76,68,64,73,78,55,54,72,72,68,80,66,52,70,74,74,70,74,70,52,68,72,70,11,7,5,12,14
Aleš Matějů,72,Right,Medium,Medium,69,45,76,65,33,68,63,51,63,69,72,74,66,67,67,56,76,77,80,52,74,69,58,63,43,71,71,69,5,11,10,13,8
Maxime Estève,82,Left,Medium,Medium,53,26,74,65,26,51,45,29,47,62,61,72,33,68,37,61,65,64,82,24,74,70,28,33,38,72,74,69,12,14,14,7,11
Faitout Maouassa,75,Left,High,Medium,72,58,61,71,53,74,75,67,69,74,82,74,76,70,84,77,75,72,75,71,72,67,67,66,42,67,68,69,14,8,5,6,9
Ismael Sosa,72,Right,High,Medium,69,72,68,72,59,73,69,57,63,72,77,74,73,71,70,75,70,64,76,70,67,48,74,71,69,35,47,39,14,11,8,11,12
Michele Castagnetti,72,Left,Medium,Medium,65,65,64,71,70,66,62,68,68,71,61,53,68,69,72,85,73,78,77,73,70,72,55,66,58,64,72,70,7,6,9,8,14
Roberto Insigne,72,Left,High,Low,71,65,66,72,65,75,68,67,71,72,84,81,81,65,83,63,51,59,34,64,28,18,71,70,65,27,23,22,9,9,13,9,12
Patricio Rubio,72,Right,Medium,Low,59,74,70,68,66,69,58,62,59,71,71,73,73,68,71,72,85,80,74,65,70,24,75,56,71,22,21,18,13,15,10,8,9
Eray Cömert,78,Right,Medium,Medium,46,30,70,69,36,41,48,59,65,69,71,76,69,67,67,76,85,72,80,70,70,71,33,53,55,69,70,72,6,8,5,7,6
Lucas Cháves,73,Right,Medium,Medium,12,13,17,26,14,17,12,21,31,18,52,44,38,69,68,50,73,43,53,15,26,25,15,27,21,20,21,15,75,68,67,72,72
Ádám Nagy,74,Right,High,Medium,69,48,54,75,68,71,69,62,70,74,69,68,79,72,79,58,58,76,54,58,62,77,64,64,58,69,68,67,10,7,6,10,14
Samir Memišević,72,Right,Low,High,40,43,75,66,21,64,30,47,62,64,51,65,43,66,64,72,90,88,86,54,82,76,36,54,60,69,65,61,14,13,8,14,8
Kristian Thorstvedt,79,Left,High,High,58,71,72,76,65,75,70,57,72,75,61,65,65,68,42,78,70,78,85,75,73,67,70,69,52,63,69,57,13,8,10,6,12
Mikael Ishak,72,Right,Medium,High,57,76,71,66,70,64,38,47,43,68,69,74,62,66,67,75,82,77,84,65,66,30,76,57,71,24,43,46,12,11,15,15,9
Daniel Ojeda Saranova,72,Right,High,Medium,66,68,56,66,56,72,52,53,69,75,75,74,77,75,69,64,60,73,68,72,41,48,67,73,70,37,38,34,14,13,10,11,10
Woo Yeong Jeong,77,Right,Medium,Medium,68,68,61,72,58,78,46,40,59,76,81,83,87,69,84,59,53,89,54,56,55,30,73,70,50,34,32,36,12,6,9,7,7
Sadegh Moharrami,74,Right,High,High,63,26,56,62,21,67,39,27,61,68,82,79,75,64,84,34,79,78,48,27,61,73,57,60,38,66,74,73,6,13,7,14,9
Yvann Maçon,78,Right,High,Medium,67,44,60,66,33,72,63,41,53,72,87,88,78,67,73,67,63,82,68,50,70,65,64,59,45,63,69,68,6,15,7,11,8
John Souttar,76,Right,Medium,Medium,33,42,71,70,28,60,53,41,68,70,65,67,58,68,61,52,72,61,83,47,67,66,33,59,49,72,75,70,13,11,15,10,9
Alan Franco,78,Right,Medium,High,38,28,75,71,35,67,31,35,60,65,64,55,59,73,65,50,74,80,79,28,72,73,39,55,42,71,70,67,6,8,12,7,13
Marco Grüll,77,Right,High,Medium,64,70,52,65,61,76,68,73,60,74,84,87,77,63,67,74,63,86,71,72,32,21,65,66,66,46,22,21,7,9,11,10,9
Heitor Edvaldo Barreto Gesser,72,Left,High,Medium,72,48,58,71,55,61,67,61,58,64,74,81,62,72,74,67,62,73,51,55,72,71,61,58,56,78,62,69,13,10,16,9,13
Joe Gelhardt,87,Left,High,High,48,73,55,69,65,80,57,45,58,76,76,74,74,70,80,79,72,71,74,67,60,23,72,65,65,32,23,18,6,13,6,10,12
Terem Moffi,78,Left,High,Medium,49,72,73,64,68,71,59,55,41,70,67,76,58,69,55,77,76,65,86,68,57,15,71,47,65,18,23,18,13,11,11,11,12
Lorenzo Crisetig,72,Left,Medium,Medium,62,48,68,71,58,70,61,59,72,71,48,50,67,70,68,70,74,86,71,68,66,71,60,71,59,68,71,62,4,4,4,4,4
Alex Mowatt,72,Left,Medium,Medium,73,63,52,72,72,68,76,75,71,72,55,57,68,70,76,77,83,90,66,76,68,68,66,72,60,63,68,60,10,14,8,16,15
Pablo Pérez,72,Right,High,High,69,63,62,75,62,69,67,70,71,75,56,53,66,72,67,74,66,63,73,68,95,71,67,76,64,69,72,69,10,7,16,15,14
João Rodolfo Bardinho Barros,72,Left,Medium,Medium,74,55,54,72,65,73,75,75,68,73,74,69,75,76,74,63,70,68,60,59,58,65,56,64,63,79,64,67,10,14,13,15,18
Valon Berisha,72,Right,Medium,Medium,63,61,42,72,64,75,70,66,70,74,77,60,80,74,69,73,79,83,70,72,81,57,73,76,69,66,58,54,6,14,15,15,13
Igor Guilherme Barbosa da Paixão,82,Right,Medium,Medium,63,60,52,69,63,79,64,60,64,77,79,80,82,77,78,59,79,71,58,56,51,22,71,72,64,21,37,29,8,13,11,12,9
Yesus Cabrera,72,Right,Medium,Medium,63,69,39,71,57,79,66,66,70,75,71,78,86,63,83,59,90,64,40,64,42,51,69,73,70,51,53,42,14,8,14,11,7
Ben Osborn,72,Left,High,Medium,71,61,48,71,68,70,71,70,68,72,73,69,80,68,83,73,33,84,56,69,47,64,66,72,42,67,69,67,10,11,13,7,15
Niclas Eliasson,73,Left,Medium,Medium,74,61,30,67,57,74,73,69,54,72,90,87,91,67,78,60,60,75,54,61,35,30,60,73,53,38,48,31,11,7,10,16,14
Yoann Salmier,73,Right,Medium,Medium,22,17,74,65,27,48,28,23,58,61,39,35,39,65,42,62,73,71,88,17,71,70,29,33,33,72,75,66,6,9,14,9,13
Antônio Felipe Macedo Calegari,72,Right,Medium,Medium,28,76,79,81,68,64,38,42,77,69,64,67,57,72,55,70,64,76,68,55,71,22,77,60,64,19,17,20,10,9,14,15,6
Luiz Santiago Sacramento Cruz,72,Right,Medium,Medium,18,14,17,16,13,13,17,14,15,32,45,46,43,61,55,54,59,41,56,15,23,12,16,69,22,12,19,15,74,68,72,74,71
Caio Bruno Milaçar Kenedy,72,Right,Medium,Medium,59,72,47,75,69,75,68,64,60,75,68,64,75,74,86,60,46,68,49,63,41,43,68,76,73,17,32,30,10,11,12,11,13
Anthony Jung,72,Left,Medium,Medium,65,54,69,70,62,63,66,68,67,68,68,64,64,67,66,72,77,79,78,66,72,70,53,59,50,74,74,68,11,13,7,11,10
Iago Azevedo dos Santos,72,Right,Low,High,47,23,73,57,37,47,35,30,52,58,48,47,56,71,47,47,85,75,87,23,73,72,38,36,45,71,72,73,14,12,6,7,11
Ashley Barnes,72,Right,High,High,66,72,77,73,74,68,62,56,65,72,52,51,66,74,66,80,83,68,81,66,88,41,75,70,80,43,46,39,6,10,11,10,10
Ivor Pandur,79,Right,Medium,Medium,14,6,11,29,8,10,14,10,28,16,37,41,37,72,31,47,50,28,44,7,21,6,7,37,14,9,10,14,71,69,62,69,77
Anselmo de Moraes,72,Right,High,Medium,58,67,62,74,54,71,61,46,71,74,65,66,63,73,67,74,66,73,85,67,79,71,69,69,62,68,76,72,9,11,8,12,8
Dener Gomes Clemente,72,Right,High,Medium,59,66,75,72,55,71,52,68,69,72,67,63,64,72,65,76,60,82,81,70,80,74,68,71,47,66,72,69,15,8,12,7,14
Chang Min Lee,72,Right,High,Medium,56,61,59,73,57,66,65,68,72,73,68,67,70,68,74,76,72,87,77,77,66,62,70,74,53,63,61,56,15,13,16,6,14
Francis Amuzu,78,Right,High,Medium,63,64,32,68,61,73,63,62,66,71,91,88,93,65,86,68,90,73,53,62,51,28,67,62,58,33,41,46,10,13,10,12,12
Adam Vlkanova,72,Right,High,Medium,71,67,44,72,55,75,69,70,65,73,76,71,78,67,83,58,67,66,42,68,52,22,71,74,54,32,35,41,13,9,14,11,8
Matheus de Mello Costa,75,Right,Medium,High,28,29,72,60,38,45,28,27,46,58,81,83,61,67,49,43,79,72,82,30,72,68,28,31,46,75,73,67,6,8,8,7,6
Timoteo Samuel Triano Branco,72,Right,Medium,Medium,56,45,55,76,21,68,29,61,67,59,52,45,51,72,73,54,75,67,69,45,64,73,29,75,59,77,77,73,14,11,11,10,15
Emre Akbaba,72,Left,High,Medium,69,71,62,75,68,70,76,74,75,73,60,62,65,71,67,77,58,73,52,76,58,54,75,74,75,57,59,56,14,11,6,11,8
Sultan Al Ghannam,72,Right,High,High,77,58,58,70,56,72,68,43,65,69,80,81,75,68,82,65,56,84,65,57,69,67,68,67,52,65,68,64,9,15,10,8,12
Giorgos Kyriakopoulos,74,Left,Medium,Medium,71,40,53,73,29,73,56,68,60,73,68,67,64,67,56,65,71,68,68,57,70,72,45,45,35,72,70,70,12,10,5,10,14
Alassane Ndao,75,Right,Medium,High,67,66,45,71,56,74,50,44,65,71,83,81,79,68,79,70,36,67,59,48,28,25,70,64,62,32,27,35,8,12,9,10,11
